Customer_Name,ARR,Contract_Duration,Prediction_Point,Products_Purchased
Direct Telecom,201723,12,2019-04-01,starter_pack
Direct Telecom,345579,12,2020-04-01,business_essentials
Direct Telecom,384848,12,2021-04-01,business_essentials
Direct Telecom,241242,12,2022-04-01,starter_pack
Direct Telecom Pacific,51424,12,2013-06-01,business_essentials
Direct Telecom Pacific,12132,36,2016-06-01,starter_pack
Direct Telecom Pacific,62477,36,2019-06-01,enterprise
Direct Telecom Pacific,30961,12,2020-06-01,starter_pack
Direct Telecom Pacific,98300,12,2021-06-01,starter_pack
Direct Telecom Pacific,50348,12,2022-06-01,business_essentials
Direct Universal Resource,137244,36,2013-06-01,starter_pack
Direct Universal Resource,146865,12,2014-06-01,business_essentials
Direct Virtual Contract,101474,24,2013-11-01,business_essentials
Direct Virtual Contract,171934,24,2015-11-01,starter_pack
Direct Virtual Contract,129936,36,2018-11-01,enterprise
Direct Virtual Contract,15718,36,2021-11-01,business_essentials
East Advanced,49127,24,2017-03-01,enterprise
East Adventure,79267,12,2012-04-01,enterprise
East Adventure,74354,36,2015-04-01,starter_pack
East Adventure,131404,12,2016-04-01,business_essentials
East Digital Galaxy,162794,12,2014-12-01,starter_pack
East Digital Galaxy,120875,36,2017-12-01,enterprise
East Digital Galaxy,210220,12,2018-12-01,starter_pack
East Digital Galaxy,234647,24,2020-12-01,starter_pack
East Digital Galaxy,105188,12,2021-12-01,business_essentials
East Future Design,76886,12,2013-08-01,business_essentials
East Future Provider,111476,36,2015-08-01,enterprise
East Future Provider,137743,24,2017-08-01,starter_pack
East Future Provider,139677,36,2020-08-01,starter_pack
East Internet Frontier,98018,36,2020-03-01,enterprise
East Max,10000,36,2022-01-01,starter_pack
East People Research,241591,12,2015-07-01,business_essentials
East People Research,375513,36,2018-07-01,starter_pack
East People Research,224060,36,2021-07-01,business_essentials
East Provider,91921,12,2018-03-01,enterprise
East Provider Advanced,109889,24,2021-10-01,enterprise
East Solutions,71873,36,2015-03-01,enterprise
East Solutions,78590,12,2016-03-01,starter_pack
East Solutions,43600,12,2017-03-01,starter_pack
East Solutions,132314,12,2018-03-01,business_essentials
East Solutions,92113,12,2019-03-01,starter_pack
East Systems,151668,12,2012-07-01,business_essentials
East Vision,263659,24,2022-02-01,enterprise
Electronic Adventure Hardware,87588,36,2015-11-01,enterprise
Electronic Adventure Hardware,133093,36,2018-11-01,enterprise
Electronic Adventure Hardware,91513,24,2020-11-01,starter_pack
Electronic Application,188095,24,2015-03-01,business_essentials
Electronic Application,155244,36,2018-03-01,starter_pack
Electronic Application,162011,36,2021-03-01,business_essentials
Electronic Building Construction,192764,12,2013-08-01,enterprise
Electronic Design,291899,12,2016-08-01,starter_pack
Electronic Design,413990,12,2017-08-01,starter_pack
Electronic Design,447451,12,2018-08-01,starter_pack
Electronic Digital Construction,84994,24,2018-07-01,starter_pack
Electronic Digital Construction,63745,24,2020-07-01,starter_pack
Electronic East Medicine,75846,12,2018-04-01,starter_pack
Electronic East Medicine,68474,12,2019-04-01,enterprise
Electronic East Medicine,123177,12,2020-04-01,business_essentials
Electronic Frontier,206304,12,2015-08-01,business_essentials
Electronic Frontier,278935,12,2016-08-01,business_essentials
Electronic Frontier,426704,36,2019-08-01,business_essentials
Electronic Frontier,367716,36,2022-08-01,enterprise
Electronic Hill,83991,36,2014-06-01,enterprise
Electronic Hill,102050,12,2015-06-01,enterprise
Electronic Hill,61629,12,2016-06-01,enterprise
Electronic Max,76480,12,2011-03-01,enterprise
Electronic Max,121224,36,2014-03-01,starter_pack
Electronic Max,106490,12,2015-03-01,starter_pack
Electronic Max,92831,36,2018-03-01,business_essentials
Electronic Max,37114,12,2019-03-01,starter_pack
Electronic Max,120593,12,2020-03-01,enterprise
Electronic North,128311,12,2021-05-01,starter_pack
Electronic Omega South,234733,12,2020-03-01,enterprise
Electronic Omega South,272644,12,2021-03-01,business_essentials
Electronic Solutions Max,117178,12,2019-09-01,starter_pack
Electronic Technology Omega,94999,24,2021-08-01,starter_pack
Electronic Universal,121222,12,2016-10-01,business_essentials
Electronic Universal,137659,24,2018-10-01,enterprise
Electronic Universal,10000,24,2020-10-01,starter_pack
Electronics Atlantic Solutions,107523,36,2016-09-01,starter_pack
Electronics Atlantic Solutions,59413,12,2017-09-01,business_essentials
Electronics Atlantic Solutions,128340,12,2018-09-01,business_essentials
Electronics Atlantic Solutions,166533,12,2019-09-01,business_essentials
Electronics Atlantic Solutions,200504,12,2020-09-01,starter_pack
Electronics Contract,73665,24,2015-08-01,business_essentials
Electronics Direct Venture,144677,12,2014-02-01,enterprise
Electronics Direct Venture,278844,24,2016-02-01,enterprise
Electronics Direct Venture,213493,12,2017-02-01,enterprise
Electronics Direct Venture,133190,12,2018-02-01,enterprise
Electronics Direct Venture,291794,24,2020-02-01,starter_pack
Electronics Future,77494,24,2022-06-01,business_essentials
Electronics Galaxy Universal,76372,24,2018-06-01,business_essentials
Electronics Galaxy Universal,111074,12,2019-06-01,enterprise
Electronics Galaxy Universal,100023,36,2022-06-01,enterprise
Electronics Max Galaxy,171782,12,2016-02-01,enterprise
Electronics Net,35041,12,2012-04-01,starter_pack
Electronics Net Network,85932,24,2020-07-01,starter_pack
Electronics Net Pacific,138240,12,2019-07-01,starter_pack
Electronics Net Pacific,171328,24,2021-07-01,starter_pack
Electronics Pacific,83022,12,2011-01-01,business_essentials
Electronics Pacific Research,46324,36,2016-05-01,business_essentials
Electronics Pacific Source,82421,12,2020-02-01,business_essentials
Electronics Provider Star,44122,12,2013-01-01,enterprise
Electronics Provider Star,56876,24,2015-01-01,starter_pack
Electronics Provider Star,67737,12,2016-01-01,enterprise
Electronics Provider Star,38912,12,2017-01-01,business_essentials
Electronics Signal Industries,82100,24,2019-08-01,business_essentials
Electronics Signal Industries,85009,12,2020-08-01,starter_pack
Electronics Speed Max,190391,12,2016-03-01,enterprise
Electronics Star,30259,24,2021-05-01,business_essentials
Electronics Star,35964,12,2022-05-01,starter_pack
Electronics Vision,123517,36,2014-11-01,business_essentials
Federated Analysis Universal,48345,12,2010-10-01,business_essentials
Federated Application Network,110757,12,2019-01-01,business_essentials
Federated Application Network,43780,12,2020-01-01,business_essentials
Federated Application Network,182947,12,2021-01-01,starter_pack
Federated Application People,272101,36,2019-05-01,enterprise
Federated Application People,231088,24,2021-05-01,business_essentials
Federated Application People,172190,12,2022-05-01,business_essentials
Federated Digital,93915,12,2015-02-01,starter_pack
Federated Digital,83843,24,2017-02-01,starter_pack
Federated Digital,38874,12,2018-02-01,enterprise
Federated Digital,62400,24,2020-02-01,enterprise
Federated Digital,109532,12,2021-02-01,starter_pack
Federated Electronic,47607,12,2019-08-01,business_essentials
Federated Electronic,40526,36,2022-08-01,business_essentials
Federated Galaxy Universal,160688,12,2015-03-01,enterprise
Federated Galaxy Universal,228631,12,2016-03-01,enterprise
Federated Galaxy Universal,194214,24,2018-03-01,starter_pack
Federated Galaxy Universal,323071,24,2020-03-01,enterprise
Federated Galaxy Universal,319893,24,2022-03-01,business_essentials
Federated Net,93692,12,2013-01-01,starter_pack
Federated Network Galaxy,87492,12,2018-12-01,starter_pack
Federated Network Hill,147874,36,2014-09-01,starter_pack
Federated Omega Hill,120313,12,2014-09-01,enterprise
Federated Pacific Innovation,46124,12,2012-01-01,starter_pack
Federated Provider Vision,172675,24,2022-04-01,starter_pack
Federated Resource,100253,24,2019-08-01,starter_pack
Federated Software Research,108228,12,2018-08-01,business_essentials
Federated Software Research,232445,12,2019-08-01,enterprise
Federated Software Research,152060,12,2020-08-01,starter_pack
Federated Software Research,110920,24,2022-08-01,enterprise
Federated Solutions,66402,12,2016-02-01,enterprise
Federated Solutions Adventure,277746,12,2012-02-01,starter_pack
Federated South Vision,141617,36,2019-02-01,enterprise
Federated South Vision,155579,12,2020-02-01,starter_pack
Federated South Vision,164620,12,2021-02-01,enterprise
Federated Virtual South,68373,12,2020-01-01,enterprise
Federated Virtual South,89709,12,2021-01-01,business_essentials
Federated Virtual South,72262,12,2022-01-01,starter_pack
Frontier Adventure Design,50794,24,2018-05-01,starter_pack
Frontier Building,88560,12,2010-09-01,starter_pack
Frontier Building,110729,12,2011-09-01,starter_pack
Frontier Building,67163,24,2013-09-01,business_essentials
Frontier Building,195451,36,2016-09-01,starter_pack
Frontier Building,54027,12,2017-09-01,starter_pack
Frontier Building Resource,10000,12,2020-10-01,starter_pack
Frontier Building Resource,11198,12,2021-10-01,business_essentials
Frontier Electronic Construction,10000,24,2016-05-01,enterprise
Frontier Electronic Construction,12624,36,2019-05-01,enterprise
Frontier Electronic Construction,12969,36,2022-05-01,enterprise
Frontier Graphics,20637,36,2017-04-01,starter_pack
Frontier Net Data,217462,24,2021-02-01,starter_pack
Frontier Provider Construction,188112,12,2011-07-01,business_essentials
Frontier Resource,133696,12,2020-12-01,starter_pack
Frontier Resource Max,161699,12,2021-04-01,business_essentials
Frontier Signal Analysis,129152,12,2018-06-01,starter_pack
Frontier South,73718,12,2018-11-01,enterprise
Frontier Star,115862,24,2019-03-01,business_essentials
Frontier Studio Venture,176391,12,2011-12-01,enterprise
Frontier Studio Venture,170752,24,2013-12-01,starter_pack
Future Consulting Hill,154066,24,2017-01-01,starter_pack
Future Data People,189688,12,2011-12-01,starter_pack
Future Electronics,200472,12,2013-05-01,starter_pack
Future Electronics,182028,12,2014-05-01,enterprise
Future Electronics,161808,12,2015-05-01,enterprise
Future Electronics,321942,12,2016-05-01,enterprise
Future Hardware Construction,247848,12,2018-02-01,business_essentials
Future Hardware Construction,309950,12,2019-02-01,starter_pack
Future Hardware Construction,549772,24,2021-02-01,starter_pack
Future Interactive,129666,12,2016-11-01,starter_pack
Future Interactive,148350,24,2018-11-01,business_essentials
Future Interactive,106347,12,2019-11-01,business_essentials
Future Interactive,63619,12,2020-11-01,starter_pack
Future Max Adventure,198006,12,2014-11-01,business_essentials
Future Max Atlantic,226128,12,2021-05-01,starter_pack
Future Medicine Source,69850,24,2019-09-01,business_essentials
Future Medicine Source,76326,24,2021-09-01,business_essentials
Future Net People,139302,24,2019-11-01,starter_pack
Future Net Star,298695,36,2014-05-01,starter_pack
Future Net Star,397031,12,2015-05-01,enterprise
Future Net Star,484934,12,2016-05-01,starter_pack
Future Net Star,223924,24,2018-05-01,enterprise
Future Net Star,375346,24,2020-05-01,enterprise
Future Net Star,506632,24,2022-05-01,starter_pack
Future Network Universal,222405,12,2019-08-01,starter_pack
Future Network Universal,10000,12,2020-08-01,business_essentials
Future Network Universal,387404,12,2021-08-01,business_essentials
Future Network Universal,373066,12,2022-08-01,starter_pack
Future People Application,99701,36,2013-03-01,business_essentials
Future People Application,143420,24,2015-03-01,business_essentials
Future People Application,76420,24,2017-03-01,enterprise
Future Solutions,151620,12,2016-11-01,business_essentials
Future Solutions Studio,240120,12,2013-06-01,starter_pack
Future Solutions Studio,289693,24,2015-06-01,business_essentials
Future Solutions Studio,545544,24,2017-06-01,enterprise
Future Solutions Studio,356719,12,2018-06-01,business_essentials
Future Solutions Studio,342667,24,2020-06-01,business_essentials
Future Solutions Studio,129714,24,2022-06-01,starter_pack
Future South Pacific,119876,36,2015-12-01,enterprise
Future Star Software,203843,36,2020-12-01,starter_pack
Future Studio Architecture,78549,36,2015-03-01,business_essentials
Future Systems Innovation,117990,24,2021-11-01,business_essentials
Future Systems Source,192428,36,2019-09-01,business_essentials
Future Virtual Federated,143993,24,2018-07-01,starter_pack
Future Virtual Federated,81426,12,2019-07-01,starter_pack
Future Virtual Federated,92005,24,2021-07-01,enterprise
Future Vision Innovation,49614,24,2011-07-01,starter_pack
Future Vision Innovation,62820,12,2012-07-01,business_essentials
Future Vision Innovation,48003,24,2014-07-01,starter_pack
Galaxy Advanced Atlantic,10000,24,2012-12-01,business_essentials
Galaxy Alpha,61602,24,2016-09-01,starter_pack
Galaxy Consulting,73659,12,2021-06-01,enterprise
Galaxy Consulting,118571,12,2022-06-01,starter_pack
Galaxy East,213551,36,2020-01-01,enterprise
Galaxy East,336068,12,2021-01-01,enterprise
Galaxy Future Direct,93922,36,2018-08-01,business_essentials
Galaxy Future Direct,121706,24,2020-08-01,enterprise
Galaxy Future Direct,128848,24,2022-08-01,enterprise
Galaxy Provider Star,158348,12,2019-09-01,starter_pack
Galaxy Research Alpha,187730,12,2015-09-01,enterprise
Galaxy Resource Research,188203,36,2015-11-01,starter_pack
Galaxy Resource Research,78287,12,2016-11-01,starter_pack
Galaxy Solutions Speed,92282,24,2014-05-01,business_essentials
Galaxy Solutions Speed,120263,12,2015-05-01,enterprise
Galaxy Solutions Speed,113052,24,2017-05-01,starter_pack
Galaxy Systems Industries,71230,24,2015-11-01,business_essentials
Galaxy Systems Industries,126755,36,2018-11-01,enterprise
Galaxy Systems Industries,10000,24,2020-11-01,enterprise
Galaxy Technology Interactive,94365,24,2016-12-01,enterprise
Galaxy Technology Interactive,37792,12,2017-12-01,enterprise
Galaxy Technology Interactive,215217,24,2019-12-01,starter_pack
Galaxy Venture Power,211110,12,2020-04-01,enterprise
General Consulting Interactive,56542,24,2015-05-01,enterprise
General Federated Omega,280415,24,2021-12-01,starter_pack
General Frontier Net,57191,12,2012-09-01,enterprise
General Frontier Net,10000,24,2014-09-01,business_essentials
General Frontier Net,20284,12,2015-09-01,enterprise
General Frontier Net,41451,12,2016-09-01,starter_pack
General Graphics,232505,24,2019-08-01,enterprise
General Graphics,269607,24,2021-08-01,business_essentials
General Graphics,401852,12,2022-08-01,enterprise
General Industries People,202146,24,2013-05-01,business_essentials
General Industries People,218893,12,2014-05-01,starter_pack
General Industries People,298497,12,2015-05-01,business_essentials
General Industries People,272502,24,2017-05-01,enterprise
General Industries Telecom,195056,12,2012-11-01,business_essentials
General Interactive,250672,24,2021-10-01,starter_pack
General Net,132476,12,2012-06-01,business_essentials
General Net Design,10000,12,2019-02-01,enterprise
General North Network,217453,12,2017-10-01,business_essentials
General North Network,424740,12,2018-10-01,starter_pack
General North Network,610435,36,2021-10-01,starter_pack
General People,329385,12,2016-02-01,starter_pack
General People,437985,36,2019-02-01,starter_pack
General People,353739,12,2020-02-01,enterprise
General People,367675,24,2022-02-01,business_essentials
General Research Resource,28070,36,2020-04-01,business_essentials
General South,62846,24,2021-08-01,enterprise
General Systems Federated,242519,24,2011-10-01,business_essentials
General Systems Federated,235703,24,2013-10-01,business_essentials
Graphics Bell Vision,252993,12,2021-03-01,business_essentials
Graphics Bell Vision,230792,12,2022-03-01,business_essentials
Graphics Direct Provider,176392,24,2022-02-01,enterprise
Graphics Federated,39339,36,2014-09-01,business_essentials
Graphics General Venture,125389,12,2020-01-01,starter_pack
Graphics General Venture,67366,12,2021-01-01,enterprise
Graphics Medicine,81783,24,2020-08-01,business_essentials
Graphics Medicine,98178,24,2022-08-01,enterprise
Graphics Net,154360,12,2019-04-01,business_essentials
Graphics Pacific Net,157695,36,2021-02-01,business_essentials
Graphics Resource Graphics,146869,24,2017-04-01,enterprise
Graphics Resource Graphics,167403,24,2019-04-01,enterprise
Graphics Resource Graphics,109722,12,2020-04-01,enterprise
Graphics Resource Pacific,144847,36,2019-02-01,starter_pack
Graphics Resource Pacific,111525,24,2021-02-01,enterprise
Graphics Resource Pacific,278609,12,2022-02-01,business_essentials
Graphics Speed Research,176402,36,2019-11-01,starter_pack
Graphics Technology Innovation,132123,12,2021-01-01,business_essentials
Graphics Venture Systems,215159,12,2019-06-01,enterprise
Graphics Venture Systems,404359,36,2022-06-01,starter_pack
Graphics Virtual Interactive,306836,12,2016-11-01,starter_pack
Graphics Virtual Interactive,187834,36,2019-11-01,starter_pack
Hardware Bell Speed,10000,12,2011-09-01,business_essentials
Hardware East,136257,12,2010-07-01,starter_pack
Hardware East,252474,36,2013-07-01,business_essentials
Hardware East,141339,36,2016-07-01,enterprise
Hardware Federated,69236,24,2014-10-01,enterprise
Hardware Federated,80948,24,2016-10-01,starter_pack
Hardware Hill North,206055,24,2012-10-01,starter_pack
Hardware Hill North,306864,12,2013-10-01,enterprise
Hardware Internet,222844,12,2010-08-01,business_essentials
Hardware Network General,240858,12,2017-01-01,enterprise
Hardware Network General,49051,12,2018-01-01,enterprise
Hardware Network General,436963,36,2021-01-01,enterprise
Hardware North Max,128901,12,2016-06-01,enterprise
Hardware Omega Systems,162341,24,2017-08-01,business_essentials
Hardware People Architecture,198184,24,2011-09-01,business_essentials
Hardware Provider Direct,116511,36,2019-09-01,starter_pack
Hardware South Building,107369,12,2013-06-01,business_essentials
Hardware Star Innovation,95153,24,2011-07-01,business_essentials
Hardware Star Innovation,151199,12,2012-07-01,business_essentials
Hardware Star Innovation,122165,12,2013-07-01,starter_pack
Hardware Vision Electronics,193616,12,2012-02-01,starter_pack
Hardware Vision Electronics,137117,12,2013-02-01,starter_pack
Hardware Vision Electronics,134867,36,2016-02-01,business_essentials
Hardware Vision Electronics,190241,12,2017-02-01,business_essentials
Hardware Vision Electronics,239328,12,2018-02-01,starter_pack
Hardware Vision Electronics,221846,12,2019-02-01,starter_pack
Hill Adventure Resource,179470,12,2021-04-01,starter_pack
Hill Adventure Resource,225313,12,2022-04-01,enterprise
Hill Adventure South,174590,12,2013-09-01,business_essentials
Hill Adventure South,277072,12,2014-09-01,enterprise
Hill Application Architecture,60710,12,2015-08-01,starter_pack
Hill East Solutions,66526,12,2020-11-01,starter_pack
Hill East Solutions,133355,12,2021-11-01,starter_pack
Hill Electronics Solutions,77199,24,2020-08-01,enterprise
Hill Electronics Solutions,76477,12,2021-08-01,starter_pack
Hill Electronics Solutions,115199,12,2022-08-01,starter_pack
Hill Federated Contract,28361,12,2011-09-01,business_essentials
Hill Federated Contract,38333,12,2012-09-01,starter_pack
Hill Frontier,14078,12,2018-08-01,enterprise
Hill Frontier,17531,12,2019-08-01,business_essentials
Hill Frontier,23924,36,2022-08-01,starter_pack
Hill Hill,138020,24,2016-07-01,starter_pack
Hill Hill,152901,12,2017-07-01,starter_pack
Hill Hill,110971,12,2018-07-01,business_essentials
Hill Hill,201686,24,2020-07-01,enterprise
Hill Hill,138639,24,2022-07-01,business_essentials
Hill Net Solutions,28411,36,2015-05-01,enterprise
Hill Net Solutions,19847,36,2018-05-01,business_essentials
Hill Research,125871,12,2014-08-01,starter_pack
Hill Signal,214273,24,2020-08-01,enterprise
Hill Source Contract,117681,12,2012-07-01,starter_pack
Hill Source Frontier,34831,36,2014-12-01,business_essentials
Hill Vision Venture,127793,24,2019-08-01,starter_pack
Hill Vision Venture,167694,12,2020-08-01,enterprise
Hill Vision Venture,123193,12,2021-08-01,enterprise
Hill Vision Venture,152529,12,2022-08-01,starter_pack
Industries Construction,54381,12,2020-03-01,business_essentials
Industries Construction,78286,24,2022-03-01,starter_pack
Industries Data Solutions,233289,36,2013-03-01,starter_pack
Industries Data Solutions,119859,12,2014-03-01,starter_pack
Industries Data Solutions,437865,12,2015-03-01,enterprise
Industries Data Solutions,280941,12,2016-03-01,enterprise
Industries Data Solutions,10000,12,2017-03-01,enterprise
Industries Data Solutions,407526,12,2018-03-01,starter_pack
Industries Data Solutions,469307,12,2019-03-01,starter_pack
Industries Data Solutions,169682,12,2020-03-01,business_essentials
Industries Electronics,169877,24,2013-12-01,business_essentials
Industries Electronics,63745,24,2015-12-01,enterprise
Industries Electronics,123711,24,2017-12-01,starter_pack
Industries Future East,104609,24,2017-04-01,starter_pack
Industries Industries,10000,12,2013-07-01,starter_pack
Industries Internet Systems,106423,24,2021-12-01,business_essentials
Industries Max,74669,36,2013-06-01,starter_pack
Industries Max,98827,12,2014-06-01,starter_pack
Industries Max,140407,36,2017-06-01,starter_pack
Industries Pacific Solutions,12916,36,2017-04-01,business_essentials
Industries Pacific Solutions,20505,24,2019-04-01,starter_pack
Industries Pacific Solutions,10883,36,2022-04-01,business_essentials
Industries People,142369,12,2020-02-01,enterprise
Industries People,267475,24,2022-02-01,starter_pack
Industries South Electronics,71719,12,2011-05-01,enterprise
Industries South Electronics,22007,12,2012-05-01,business_essentials
Industries South Electronics,122719,12,2013-05-01,business_essentials
Industries South Electronics,119160,12,2014-05-01,enterprise
Industries Star,333847,12,2015-01-01,starter_pack
Industries Star Power,221260,12,2019-08-01,business_essentials
Industries Star Power,204313,12,2020-08-01,business_essentials
Industries Star Power,206985,12,2021-08-01,business_essentials
Industries Star Power,167936,12,2022-08-01,business_essentials
Innovation Application,111974,12,2017-05-01,enterprise
Innovation Application Hardware,169028,24,2013-03-01,enterprise
Innovation Direct Venture,181724,12,2013-12-01,business_essentials
Innovation Electronics,136758,24,2022-04-01,enterprise
Innovation Hill Software,172356,36,2017-04-01,enterprise
Innovation Hill Software,233078,12,2018-04-01,starter_pack
Innovation Hill Software,360178,24,2020-04-01,starter_pack
Innovation Hill Software,207609,24,2022-04-01,business_essentials
Innovation Max Solutions,130406,12,2019-02-01,business_essentials
Innovation Max Solutions,165647,12,2020-02-01,enterprise
Innovation Max Solutions,284702,12,2021-02-01,business_essentials
Innovation Provider Max,10000,24,2020-12-01,enterprise
Innovation Research Analysis,58772,12,2012-05-01,business_essentials
Innovation Signal Research,58528,24,2014-02-01,enterprise
Innovation Solutions Vision,102487,12,2019-03-01,business_essentials
Innovation South,77652,24,2016-01-01,business_essentials
Innovation Studio,59872,12,2019-05-01,starter_pack
Innovation Systems,170670,24,2014-11-01,business_essentials
Innovation Systems,155179,12,2015-11-01,starter_pack
Innovation Systems,128603,12,2016-11-01,enterprise
Innovation Systems,134919,12,2017-11-01,business_essentials
Innovation West,25774,36,2021-05-01,starter_pack
Innovation West,45294,12,2022-05-01,starter_pack
Interactive Advanced,39064,24,2018-10-01,enterprise
Interactive Advanced,51501,24,2020-10-01,business_essentials
Interactive Architecture,135468,12,2017-08-01,business_essentials
Interactive Architecture,223196,12,2018-08-01,enterprise
Interactive Architecture,281717,12,2019-08-01,business_essentials
Interactive Bell,46042,12,2017-12-01,starter_pack
Interactive Building Electronics,10000,36,2014-09-01,enterprise
Interactive Building Universal,62985,24,2016-05-01,starter_pack
Interactive Construction Adventure,111705,36,2020-01-01,business_essentials
Interactive Construction Adventure,248653,12,2021-01-01,starter_pack
Interactive Construction Adventure,44208,12,2022-01-01,enterprise
Interactive Consulting People,130830,12,2021-03-01,starter_pack
Interactive Data,206393,12,2015-05-01,enterprise
Interactive Data,273050,12,2016-05-01,starter_pack
Interactive Data,400185,36,2019-05-01,starter_pack
Interactive Data,261972,12,2020-05-01,enterprise
Interactive Digital Pacific,42649,36,2019-11-01,starter_pack
Interactive Direct Provider,259046,12,2011-05-01,starter_pack
Interactive Direct Provider,339158,12,2012-05-01,starter_pack
Interactive Direct Provider,323354,12,2013-05-01,enterprise
Interactive Electronics Telecom,63159,24,2014-11-01,enterprise
Interactive Future Federated,77142,24,2015-03-01,enterprise
Interactive Future Federated,68415,12,2016-03-01,starter_pack
Interactive Future Federated,73571,12,2017-03-01,enterprise
Interactive Future Federated,83500,36,2020-03-01,enterprise
Interactive Future Federated,57808,12,2021-03-01,business_essentials
Interactive Interactive,176224,24,2018-03-01,business_essentials
Interactive Interactive,173326,24,2020-03-01,business_essentials
Interactive Interactive,189470,24,2022-03-01,enterprise
Interactive Internet Application,66323,24,2018-11-01,starter_pack
Interactive North,100534,12,2017-11-01,enterprise
Interactive North,178879,24,2019-11-01,enterprise
Interactive Omega,20872,12,2020-12-01,enterprise
Interactive Pacific,184317,24,2020-02-01,starter_pack
Interactive Research Solutions,151531,12,2013-12-01,starter_pack
Interactive Research Solutions,212148,12,2014-12-01,enterprise
Interactive Research Solutions,120125,12,2015-12-01,starter_pack
Interactive Research Solutions,129153,36,2018-12-01,enterprise
Interactive Research Solutions,63866,12,2019-12-01,starter_pack
Interactive Research Solutions,160161,12,2020-12-01,enterprise
Interactive Solutions,99681,24,2013-10-01,enterprise
Interactive Source Architecture,39258,12,2017-07-01,business_essentials
Interactive Star,177198,12,2011-12-01,enterprise
Interactive Star Direct,150855,36,2012-12-01,business_essentials
Interactive Universal Galaxy,222445,36,2020-01-01,starter_pack
Interactive Universal Galaxy,245339,12,2021-01-01,business_essentials
Interactive Universal Galaxy,318216,12,2022-01-01,starter_pack
Internet Alpha,77558,24,2020-05-01,business_essentials
Internet Contract,11667,12,2012-10-01,starter_pack
Internet Hill Max,165073,12,2014-09-01,enterprise
Internet Hill Max,215067,24,2016-09-01,starter_pack
Internet Hill Max,246334,12,2017-09-01,starter_pack
Internet Hill Max,213485,12,2018-09-01,starter_pack
Internet Hill Max,81492,24,2020-09-01,business_essentials
Internet Industries Pacific,259116,12,2018-09-01,starter_pack
Internet Innovation Electronics,117171,12,2015-05-01,business_essentials
Internet Innovation Electronics,95412,24,2017-05-01,enterprise
Internet Innovation Electronics,91769,36,2020-05-01,starter_pack
Internet Network Application,125871,24,2020-07-01,business_essentials
Internet Network Application,167582,24,2022-07-01,business_essentials
Internet Software Consulting,160155,24,2022-03-01,business_essentials
Internet Solutions,10000,36,2015-09-01,starter_pack
Internet Solutions,11160,24,2017-09-01,enterprise
Internet Solutions,10000,12,2018-09-01,starter_pack
Internet Solutions,14482,24,2020-09-01,starter_pack
Internet South Vision,40424,36,2020-12-01,business_essentials
Internet Systems Digital,159108,36,2017-01-01,business_essentials
Internet Vision,114598,36,2020-06-01,business_essentials
Internet Vision Alpha,132723,24,2021-04-01,enterprise
Internet Vision Signal,214030,12,2011-04-01,business_essentials
Internet Vision Signal,286491,36,2014-04-01,starter_pack
Internet Vision Signal,173958,24,2016-04-01,business_essentials
Internet Vision Signal,321042,24,2018-04-01,business_essentials
Internet Vision Signal,293264,24,2020-04-01,business_essentials
Internet West,149626,12,2020-06-01,starter_pack
Internet West,255287,12,2021-06-01,enterprise
Internet West Pacific,240720,24,2016-08-01,enterprise
Internet West Pacific,130663,12,2017-08-01,enterprise
Internet West Pacific,230685,12,2018-08-01,business_essentials
Internet West Pacific,191954,12,2019-08-01,business_essentials
Internet West Pacific,408762,24,2021-08-01,enterprise
Internet West Pacific,526287,12,2022-08-01,enterprise
Internet West Research,226646,12,2016-10-01,starter_pack
Max Bell Federated,155515,36,2017-06-01,starter_pack
Max Bell Federated,189650,12,2018-06-01,starter_pack
Max Bell Federated,212452,12,2019-06-01,enterprise
Max Bell Federated,416223,24,2021-06-01,starter_pack
Max Bell Federated,93653,12,2022-06-01,starter_pack
Max Electronic People,200418,36,2022-01-01,business_essentials
Max Frontier Innovation,61240,12,2013-09-01,starter_pack
Max Future Solutions,96299,36,2021-01-01,business_essentials
Max Omega,117692,24,2020-02-01,business_essentials
Max Omega,119773,24,2022-02-01,enterprise
Max Omega Bell,55132,12,2011-08-01,enterprise
Max People Solutions,79373,12,2020-03-01,enterprise
Max Resource Universal,96618,12,2015-06-01,enterprise
Max Resource Universal,75755,24,2017-06-01,business_essentials
Max Resource Universal,119019,12,2018-06-01,business_essentials
Max Resource Universal,194790,36,2021-06-01,starter_pack
Max Virtual Virtual,132855,12,2020-12-01,business_essentials
Medicine Analysis Virtual,10000,12,2019-06-01,enterprise
Medicine Analysis Virtual,14761,12,2020-06-01,enterprise
Medicine Analysis Virtual,10000,24,2022-06-01,enterprise
Medicine Application General,172172,36,2022-03-01,enterprise
Medicine Construction Adventure,188637,12,2020-01-01,business_essentials
Medicine Direct Omega,218821,12,2015-11-01,starter_pack
Medicine Direct Omega,201609,12,2016-11-01,enterprise
Medicine Direct Omega,296342,36,2019-11-01,business_essentials
Medicine Direct Omega,219280,24,2021-11-01,business_essentials
Medicine Electronic Bell,38217,36,2013-08-01,starter_pack
Medicine Electronics,82547,36,2014-05-01,enterprise
Medicine Electronics,72486,12,2015-05-01,enterprise
Medicine Electronics,93747,12,2016-05-01,business_essentials
Medicine Electronics,37074,24,2018-05-01,enterprise
Medicine Federated,211430,24,2014-10-01,starter_pack
Medicine Federated,176092,24,2016-10-01,starter_pack
